metric,value
Initial Token Price,1.0
Year 5 Token Price,2.741079493412286
Year 10 Token Price,11.159530625468653
Token Multiple,11.159530625468653
Total Farms,10.0
Year 10 NAV,467697998.8630693
Year 10 Annual Revenue,190885387.44136482
Total PDF (FEAG),103077072.5552301
Self-Funding Year,5.0
Total External Capital,56000000.0
Oldest Farm Cumulative Profit,39930417.40180016
Average Annual Return,27.281297206243792
