Year,Gross_Revenue,PDF_15%,Cumulative_PDF,After_Tax_PDF
1,35000.0,5250.0,5250.0,3674.9999999999995
2,392000.0,58800.0,64050.0,41160.0
3,4788000.0,718200.0,782250.0,502739.99999999994
4,5984000.0,897600.0,1679850.0,628320.0
5,11260000.0,1689000.0,3368850.0,1182300.0
6,11450000.0,1717500.0,5086350.0,1202250.0
7,16040000.0,2406000.0,7492350.0,1684200.0
8,15232000.0,2284800.0,9777150.0,1599360.0
9,21200000.0,3180000.0,12957150.0,2226000.0
10,19292000.0,2893800.0,15850950.0,2025659.9999999998
