metric,mean,std,min,p25,median,p75,max
Token Price,9.882315270134042,1.8535204875196263,6.300123520561791,8.472466704820533,9.868962040364705,11.179307261724007,14.23336757140156
NAV,2642473183.42788,163886937.9165122,2318376424.8852963,2512905618.385128,2654738387.09134,2758629149.655221,3051263685.0353575
Self-Funding Year,6.73,0.5290548080293671,6.0,6.0,7.0,7.0,8.0
