year,opening_farms,opening_treasury,opening_nav,farms_acquired,capital_raised,new_tokens,funding_source,feag_issuance_fee,gross_revenue,pdf_total,expert_total,supplier_total,admin_total,operator_paid_total,operator_overflow_total,treasury_pretax_total,tax_total,net_to_treasury,closing_farms,closing_treasury,land_nav,treasury_nav,total_nav,tokens_outstanding,token_price,standard_token_price,pv_future_cash,dcf_premium,self_funding_capable,oldest_farm_cum_profit,avg_cum_profit_first_10,scenario
1,0,0.0,0.0,10,140000000.0,140000000.0,initial_raise,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-7000000.0,145600000.0,-7000000.0,138600000.0,140000000.0,0.704959789823464,0.99,-19798597.34126852,-0.2879194042187233,False,0.0,0.0,Base
2,10,-7000000.0,138600000.0,10,154736842.10526317,156299840.51036686,equity,7736842.105263159,25707875.0,3806261.25,1235473.75,9280421.25,821156.25,2570787.5,0.0,7993775.0,1998443.75,5995331.25,20,5995331.25,297024000.0,5995331.25,303019331.25,296299840.51036686,1.1324678544581663,1.0226780099782,15309525.152694995,0.1073552412477381,False,413598.75,599533.125,Base
3,20,5995331.25,303019331.25,10,141057546.0526316,137929577.712968,mixed,7052877.302631579,85591075.0,12770336.1375,4211228.637499999,30581540.474999998,2636057.3625,6584156.875,1974950.625,28807755.5125,7201938.878125,21605816.634375,30,21605816.634375,460410496.00000006,21605816.634375,482016312.63437504,434229418.22333485,1.3691143910154175,1.1100498777963086,50432168.820810735,0.2333809663881128,False,1314829.171875,2141435.0296875,Base
4,30,21605816.634375,482016312.63437504,10,124625456.17434211,112270140.88930027,mixed,6231272.808717106,180212304.9125,26987374.06725,8966143.576,64070213.468625,5450840.817,10718118.06125,7303112.43,64019614.922375,16004903.73059375,48014711.19178125,40,48014711.19178125,636474209.2800001,48014711.19178125,684488920.4717814,546499559.1126351,1.694337746387897,1.2524967478166003,103546862.57273385,0.35276818030987367,False,2821286.9360625,4707152.225925,Base
5,40,48014711.19178125,684488920.4717814,10,96826619.798125,77306883.20501976,mixed,4841330.9899062505,310110077.11700004,46546857.6830025,15535849.971302502,109910044.72077,9272956.1980575,14803904.1524,16207103.559300004,114040464.39146751,28510116.097866878,85530348.29360063,50,85530348.29360063,825967898.8288001,85530348.29360063,911498247.1224008,623806442.3176548,2.131684775712632,1.4611876141193287,172580240.77934963,0.4588713695040578,False,4911115.164051563,8284849.055362031,Base
6,50,85530348.29360063,911498247.1224008,10,57336475.48042039,39239639.678288415,mixed,2866823.7740210197,474021602.98963004,71232482.71301572,23830322.41405271,167712584.3694821,14091405.825117696,18855004.4163,28547155.882663008,178299803.25166184,44574950.81291546,133724852.43874638,60,133724852.43874638,1029684260.8066561,133724852.43874638,1163409113.2454026,663046081.9959433,2.720227536385131,1.7546429197548905,256111397.12937525,0.5503026318113344,False,7619890.168207313,12796972.028369883,Base
7,60,133724852.43874638,1163409113.2454026,10,6605418.485530129,3764537.166600742,mixed,330270.92427650647,666155534.3013936,100158844.75175221,33543291.32161285,235462564.51257268,19749151.42249864,22907757.01369012,43707796.41644925,254333925.27926713,63583481.31981678,190750443.95945033,70,190750443.95945033,1241549277.2636263,190750443.95945033,1432299721.2230766,666810619.162544,3.495430242542213,2.1479857699655716,350572383.5282158,0.6273060517520275,True,10763642.434892174,18026667.38383869,Base
8,70,190750443.95945033,1432299721.2230766,10,0.0,0.0,treasury,0.0,882484529.9974774,132719464.81681962,44471011.817071885,311742649.0744532,26127750.582726303,26962216.287597988,61286236.712149754,340461437.4188084,85115359.3547021,255346078.06410632,80,306096522.02355665,1461888894.3788755,306096522.02355665,1767985416.4024322,666810619.162544,4.7894347714126795,2.6514056099209515,546418750.5391532,0.8063757402834608,True,14307467.20436417,23818722.288950883,Base
9,80,306096522.02355665,1767985416.4024322,10,0.0,0.0,treasury,0.0,1121973024.5657747,168764077.5951313,56566775.13855383,396162670.6607198,33191066.826708145,31018438.40226298,81178864.0543145,436269995.94239855,109067498.98559964,327202496.9567989,90,493299018.98035556,1691042096.1787348,493299018.98035556,2184341115.1590905,666810619.162544,6.700226347467921,3.275804332424148,866472506.786514,1.0453683027244929,True,18176182.154785804,30117234.934697736,Base
10,90,493299018.98035556,2184341115.1590905,10,0.0,0.0,treasury,0.0,1382164816.4907951,207927668.04923958,69711186.40016007,487849173.7468844,40861998.91910355,35076481.4054094,103140000.24367012,540738307.9699981,135184576.99249953,405553730.9774986,100,758852749.9578542,1929361426.0505881,758852749.9578542,2688214176.0084424,666810619.162544,9.2827920364974,4.031450757914751,1321896330.8320658,1.3025934319730799,True,22298405.598501593,36821545.38136212,Base
