farm_id,farm_type,acquisition_year,year,age,gross,gross_forestry,gross_soil,gross_biodiversity,gross_beef,gross_water,pdf_fee,expert_fee,supplier_costs,admin,operator_paid,operator_overflow,treasury_pretax,tax,net_to_treasury,cum_profit,land_fmv
F002,medium,1,9,9,18759983.408186648,1311107.034236183,5415442.09793206,4269935.437264455,5573788.358105511,2189710.480648438,2813997.511227997,937999.1704093325,6565994.192865326,562799.5022455994,250000.0,1625998.340818665,7629193.031438393,1907298.2578595981,5721894.773578795,28168496.31209816,22915320.17998591
F002,medium,1,10,10,19910465.546735853,1409155.0385355845,5871479.327231602,4611530.272245611,5741002.008848678,2277298.899874376,2986569.8320103777,995523.2773367927,6968662.941357548,597313.9664020756,250000.0,1741046.5546735853,8112395.529629058,2028098.8824072646,6084296.647221793,34252792.95931996,23831932.987185348
F003,medium,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F003,medium,1,2,2,2521800.0,185400.0,0.0,374400.0,1442000.0,520000.0,378270.0,126090.0,882630.0,75654.0,250000.0,2180.0,809156.0,202289.0,606867.0,606867.0,15142400.0
F003,medium,1,3,3,5520250.0,381924.0,954810.0,1038336.0,2333979.9999999995,811200.0000000001,828037.5,276012.5,1932087.4999999998,165607.5,250000.0,302025.0,2068505.0,517126.25,1551378.75,2158245.75,16338649.600000003
F003,medium,1,4,4,8361284.9399999995,590072.58,1966908.5999999999,1619804.1600000001,3059635.6,1124864.0000000002,1254192.741,418064.247,2926449.729,250838.54819999996,250000.0,586128.494,3261739.6747999997,815434.9186999999,2446304.7561,4604550.5061,17606371.328
F003,medium,1,5,5,11325928.7914,810366.3432000001,3038873.7870000005,2246128.4352000006,3826729.954,1403830.2720000003,1698889.31871,566296.43957,3964075.07699,339777.863742,250000.0,882592.8791400001,4506890.092388,1126722.523097,3380167.5692910003,7984718.075391,18949368.954880003
F003,medium,1,6,6,13932251.845749002,991179.3335265,3912550.0007625003,2919966.9657600005,4405241.482340001,1703314.0633600003,2089837.7768623503,696612.5922874501,4876288.146012151,417967.55537247006,250000.0,1143225.1845749002,5601545.775214581,1400386.4438036452,4201159.331410935,12185877.406801935,20371636.197785605
F003,medium,1,7,7,16100908.118658096,1128379.4202199052,4567250.034223426,3492280.491048961,5015019.645421801,1897978.5277440005,2415136.217798714,805045.4059329048,5635317.841530333,483027.24355974287,250000.0,1360090.8118658096,6512381.4098364,1628095.3524591,4884286.0573773,17070163.464179236,21186501.64569703
F003,medium,1,8,8,17663295.474095643,1217575.1267706216,4980989.154970724,3947795.337707521,5411445.007869429,2105490.8467773446,2649494.3211143464,883164.7737047821,6182153.415933475,529898.8642228693,250000.0,1516329.5474095643,7168584.09912017,1792146.0247800425,5376438.074340127,22446601.538519364,22033961.711524915
F003,medium,1,9,9,18759983.408186648,1311107.034236183,5415442.09793206,4269935.437264455,5573788.358105511,2189710.480648438,2813997.511227997,937999.1704093325,6565994.192865326,562799.5022455994,250000.0,1625998.340818665,7629193.031438393,1907298.2578595981,5721894.773578795,28168496.31209816,22915320.17998591
F003,medium,1,10,10,19910465.546735853,1409155.0385355845,5871479.327231602,4611530.272245611,5741002.008848678,2277298.899874376,2986569.8320103777,995523.2773367927,6968662.941357548,597313.9664020756,250000.0,1741046.5546735853,8112395.529629058,2028098.8824072646,6084296.647221793,34252792.95931996,23831932.987185348
F004,medium,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F004,medium,1,2,2,2521800.0,185400.0,0.0,374400.0,1442000.0,520000.0,378270.0,126090.0,882630.0,75654.0,250000.0,2180.0,809156.0,202289.0,606867.0,606867.0,15142400.0
F004,medium,1,3,3,5520250.0,381924.0,954810.0,1038336.0,2333979.9999999995,811200.0000000001,828037.5,276012.5,1932087.4999999998,165607.5,250000.0,302025.0,2068505.0,517126.25,1551378.75,2158245.75,16338649.600000003
F004,medium,1,4,4,8361284.9399999995,590072.58,1966908.5999999999,1619804.1600000001,3059635.6,1124864.0000000002,1254192.741,418064.247,2926449.729,250838.54819999996,250000.0,586128.494,3261739.6747999997,815434.9186999999,2446304.7561,4604550.5061,17606371.328
F004,medium,1,5,5,11325928.7914,810366.3432000001,3038873.7870000005,2246128.4352000006,3826729.954,1403830.2720000003,1698889.31871,566296.43957,3964075.07699,339777.863742,250000.0,882592.8791400001,4506890.092388,1126722.523097,3380167.5692910003,7984718.075391,18949368.954880003
F004,medium,1,6,6,13932251.845749002,991179.3335265,3912550.0007625003,2919966.9657600005,4405241.482340001,1703314.0633600003,2089837.7768623503,696612.5922874501,4876288.146012151,417967.55537247006,250000.0,1143225.1845749002,5601545.775214581,1400386.4438036452,4201159.331410935,12185877.406801935,20371636.197785605
F004,medium,1,7,7,16100908.118658096,1128379.4202199052,4567250.034223426,3492280.491048961,5015019.645421801,1897978.5277440005,2415136.217798714,805045.4059329048,5635317.841530333,483027.24355974287,250000.0,1360090.8118658096,6512381.4098364,1628095.3524591,4884286.0573773,17070163.464179236,21186501.64569703
F004,medium,1,8,8,17663295.474095643,1217575.1267706216,4980989.154970724,3947795.337707521,5411445.007869429,2105490.8467773446,2649494.3211143464,883164.7737047821,6182153.415933475,529898.8642228693,250000.0,1516329.5474095643,7168584.09912017,1792146.0247800425,5376438.074340127,22446601.538519364,22033961.711524915
F004,medium,1,9,9,18759983.408186648,1311107.034236183,5415442.09793206,4269935.437264455,5573788.358105511,2189710.480648438,2813997.511227997,937999.1704093325,6565994.192865326,562799.5022455994,250000.0,1625998.340818665,7629193.031438393,1907298.2578595981,5721894.773578795,28168496.31209816,22915320.17998591
F004,medium,1,10,10,19910465.546735853,1409155.0385355845,5871479.327231602,4611530.272245611,5741002.008848678,2277298.899874376,2986569.8320103777,995523.2773367927,6968662.941357548,597313.9664020756,250000.0,1741046.5546735853,8112395.529629058,2028098.8824072646,6084296.647221793,34252792.95931996,23831932.987185348
F005,medium,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F005,medium,1,2,2,2521800.0,185400.0,0.0,374400.0,1442000.0,520000.0,378270.0,126090.0,882630.0,75654.0,250000.0,2180.0,809156.0,202289.0,606867.0,606867.0,15142400.0
F005,medium,1,3,3,5520250.0,381924.0,954810.0,1038336.0,2333979.9999999995,811200.0000000001,828037.5,276012.5,1932087.4999999998,165607.5,250000.0,302025.0,2068505.0,517126.25,1551378.75,2158245.75,16338649.600000003
F005,medium,1,4,4,8361284.9399999995,590072.58,1966908.5999999999,1619804.1600000001,3059635.6,1124864.0000000002,1254192.741,418064.247,2926449.729,250838.54819999996,250000.0,586128.494,3261739.6747999997,815434.9186999999,2446304.7561,4604550.5061,17606371.328
F005,medium,1,5,5,11325928.7914,810366.3432000001,3038873.7870000005,2246128.4352000006,3826729.954,1403830.2720000003,1698889.31871,566296.43957,3964075.07699,339777.863742,250000.0,882592.8791400001,4506890.092388,1126722.523097,3380167.5692910003,7984718.075391,18949368.954880003
F005,medium,1,6,6,13932251.845749002,991179.3335265,3912550.0007625003,2919966.9657600005,4405241.482340001,1703314.0633600003,2089837.7768623503,696612.5922874501,4876288.146012151,417967.55537247006,250000.0,1143225.1845749002,5601545.775214581,1400386.4438036452,4201159.331410935,12185877.406801935,20371636.197785605
F005,medium,1,7,7,16100908.118658096,1128379.4202199052,4567250.034223426,3492280.491048961,5015019.645421801,1897978.5277440005,2415136.217798714,805045.4059329048,5635317.841530333,483027.24355974287,250000.0,1360090.8118658096,6512381.4098364,1628095.3524591,4884286.0573773,17070163.464179236,21186501.64569703
F005,medium,1,8,8,17663295.474095643,1217575.1267706216,4980989.154970724,3947795.337707521,5411445.007869429,2105490.8467773446,2649494.3211143464,883164.7737047821,6182153.415933475,529898.8642228693,250000.0,1516329.5474095643,7168584.09912017,1792146.0247800425,5376438.074340127,22446601.538519364,22033961.711524915
F005,medium,1,9,9,18759983.408186648,1311107.034236183,5415442.09793206,4269935.437264455,5573788.358105511,2189710.480648438,2813997.511227997,937999.1704093325,6565994.192865326,562799.5022455994,250000.0,1625998.340818665,7629193.031438393,1907298.2578595981,5721894.773578795,28168496.31209816,22915320.17998591
F005,medium,1,10,10,19910465.546735853,1409155.0385355845,5871479.327231602,4611530.272245611,5741002.008848678,2277298.899874376,2986569.8320103777,995523.2773367927,6968662.941357548,597313.9664020756,250000.0,1741046.5546735853,8112395.529629058,2028098.8824072646,6084296.647221793,34252792.95931996,23831932.987185348
F006,medium,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F006,medium,1,2,2,2521800.0,185400.0,0.0,374400.0,1442000.0,520000.0,378270.0,126090.0,882630.0,75654.0,250000.0,2180.0,809156.0,202289.0,606867.0,606867.0,15142400.0
F006,medium,1,3,3,5520250.0,381924.0,954810.0,1038336.0,2333979.9999999995,811200.0000000001,828037.5,276012.5,1932087.4999999998,165607.5,250000.0,302025.0,2068505.0,517126.25,1551378.75,2158245.75,16338649.600000003
F006,medium,1,4,4,8361284.9399999995,590072.58,1966908.5999999999,1619804.1600000001,3059635.6,1124864.0000000002,1254192.741,418064.247,2926449.729,250838.54819999996,250000.0,586128.494,3261739.6747999997,815434.9186999999,2446304.7561,4604550.5061,17606371.328
F006,medium,1,5,5,11325928.7914,810366.3432000001,3038873.7870000005,2246128.4352000006,3826729.954,1403830.2720000003,1698889.31871,566296.43957,3964075.07699,339777.863742,250000.0,882592.8791400001,4506890.092388,1126722.523097,3380167.5692910003,7984718.075391,18949368.954880003
F006,medium,1,6,6,13932251.845749002,991179.3335265,3912550.0007625003,2919966.9657600005,4405241.482340001,1703314.0633600003,2089837.7768623503,696612.5922874501,4876288.146012151,417967.55537247006,250000.0,1143225.1845749002,5601545.775214581,1400386.4438036452,4201159.331410935,12185877.406801935,20371636.197785605
F006,medium,1,7,7,16100908.118658096,1128379.4202199052,4567250.034223426,3492280.491048961,5015019.645421801,1897978.5277440005,2415136.217798714,805045.4059329048,5635317.841530333,483027.24355974287,250000.0,1360090.8118658096,6512381.4098364,1628095.3524591,4884286.0573773,17070163.464179236,21186501.64569703
F006,medium,1,8,8,17663295.474095643,1217575.1267706216,4980989.154970724,3947795.337707521,5411445.007869429,2105490.8467773446,2649494.3211143464,883164.7737047821,6182153.415933475,529898.8642228693,250000.0,1516329.5474095643,7168584.09912017,1792146.0247800425,5376438.074340127,22446601.538519364,22033961.711524915
F006,medium,1,9,9,18759983.408186648,1311107.034236183,5415442.09793206,4269935.437264455,5573788.358105511,2189710.480648438,2813997.511227997,937999.1704093325,6565994.192865326,562799.5022455994,250000.0,1625998.340818665,7629193.031438393,1907298.2578595981,5721894.773578795,28168496.31209816,22915320.17998591
F006,medium,1,10,10,19910465.546735853,1409155.0385355845,5871479.327231602,4611530.272245611,5741002.008848678,2277298.899874376,2986569.8320103777,995523.2773367927,6968662.941357548,597313.9664020756,250000.0,1741046.5546735853,8112395.529629058,2028098.8824072646,6084296.647221793,34252792.95931996,23831932.987185348
F007,medium,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F007,medium,1,2,2,2521800.0,185400.0,0.0,374400.0,1442000.0,520000.0,378270.0,126090.0,882630.0,75654.0,250000.0,2180.0,809156.0,202289.0,606867.0,606867.0,15142400.0
F007,medium,1,3,3,5520250.0,381924.0,954810.0,1038336.0,2333979.9999999995,811200.0000000001,828037.5,276012.5,1932087.4999999998,165607.5,250000.0,302025.0,2068505.0,517126.25,1551378.75,2158245.75,16338649.600000003
F007,medium,1,4,4,8361284.9399999995,590072.58,1966908.5999999999,1619804.1600000001,3059635.6,1124864.0000000002,1254192.741,418064.247,2926449.729,250838.54819999996,250000.0,586128.494,3261739.6747999997,815434.9186999999,2446304.7561,4604550.5061,17606371.328
F007,medium,1,5,5,11325928.7914,810366.3432000001,3038873.7870000005,2246128.4352000006,3826729.954,1403830.2720000003,1698889.31871,566296.43957,3964075.07699,339777.863742,250000.0,882592.8791400001,4506890.092388,1126722.523097,3380167.5692910003,7984718.075391,18949368.954880003
F007,medium,1,6,6,13932251.845749002,991179.3335265,3912550.0007625003,2919966.9657600005,4405241.482340001,1703314.0633600003,2089837.7768623503,696612.5922874501,4876288.146012151,417967.55537247006,250000.0,1143225.1845749002,5601545.775214581,1400386.4438036452,4201159.331410935,12185877.406801935,20371636.197785605
F007,medium,1,7,7,16100908.118658096,1128379.4202199052,4567250.034223426,3492280.491048961,5015019.645421801,1897978.5277440005,2415136.217798714,805045.4059329048,5635317.841530333,483027.24355974287,250000.0,1360090.8118658096,6512381.4098364,1628095.3524591,4884286.0573773,17070163.464179236,21186501.64569703
F007,medium,1,8,8,17663295.474095643,1217575.1267706216,4980989.154970724,3947795.337707521,5411445.007869429,2105490.8467773446,2649494.3211143464,883164.7737047821,6182153.415933475,529898.8642228693,250000.0,1516329.5474095643,7168584.09912017,1792146.0247800425,5376438.074340127,22446601.538519364,22033961.711524915
F007,medium,1,9,9,18759983.408186648,1311107.034236183,5415442.09793206,4269935.437264455,5573788.358105511,2189710.480648438,2813997.511227997,937999.1704093325,6565994.192865326,562799.5022455994,250000.0,1625998.340818665,7629193.031438393,1907298.2578595981,5721894.773578795,28168496.31209816,22915320.17998591
F007,medium,1,10,10,19910465.546735853,1409155.0385355845,5871479.327231602,4611530.272245611,5741002.008848678,2277298.899874376,2986569.8320103777,995523.2773367927,6968662.941357548,597313.9664020756,250000.0,1741046.5546735853,8112395.529629058,2028098.8824072646,6084296.647221793,34252792.95931996,23831932.987185348
F008,high,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F008,high,1,2,2,3690100.0,278100.0,0.0,624000.0,2060000.0,728000.0,553515.0,184505.0,1291535.0,110703.0,250000.0,119010.0,1299842.0,324960.5,974881.5,974881.5,15142400.0
F008,high,1,3,3,8255405.0,572886.0,1432215.0,1557504.0,3394879.9999999995,1297920.0000000002,1238310.75,412770.25,2889391.75,247662.15,250000.0,575540.5,3217270.1,804317.525,2412952.575,3387834.075,16338649.600000003
F008,high,1,4,4,12872959.21,885108.87,2950362.9,2429706.24,4807998.800000001,1799782.4000000001,1930943.8815000001,643647.9605,4505535.7235,386188.7763,250000.0,1037295.9210000001,5156642.8682,1289160.71705,3867482.1511500003,7255316.2261500005,17606371.328
F008,high,1,5,5,17335415.780100003,1215549.5148,4558310.680500001,3369192.6528000007,5852645.812,2339717.1200000006,2600312.3670150004,866770.7890050001,6067395.523035001,520062.47340300004,250000.0,1483541.5780100003,7030874.627642001,1757718.6569105003,5273155.970731501,12528472.196881501,18949368.954880003
F008,high,1,6,6,21332988.571363,1460685.3336180001,5738406.667785,4379950.44864,6955644.445800001,2798301.6755200005,3199948.2857044498,1066649.42856815,7466545.9999770485,639989.6571408899,250000.0,1883298.8571362998,8709855.199972458,2177463.7999931145,6532391.399979344,19060863.596860845,20371636.197785605
F008,high,1,7,7,24349980.961122867,1665702.9536579554,6716544.167975626,5162501.595463681,7641934.697785601,3163297.546240001,3652497.14416843,1217499.0480561433,8522493.336393002,730499.4288336859,250000.0,2184998.0961122867,9976992.003671605,2494248.0009179013,7482744.002753704,26543607.59961455,21186501.64569703
F008,high,1,8,8,26679173.66023648,1826362.6901559322,7471483.732456087,5842737.099807131,8117167.511804144,3421422.626013185,4001876.049035472,1333958.6830118243,9337710.781082768,800375.2098070944,250000.0,2417917.3660236485,10955252.937299322,2738813.2343248306,8216439.702974492,34760047.302589044,22033961.711524915
F008,high,1,9,9,29139142.09071504,1995162.8781854957,8265674.781054197,6569131.441945314,8614036.553435791,3695136.4360942394,4370871.313607256,1456957.104535752,10198699.731750263,874174.2627214511,250000.0,2663914.209071504,11988439.678100318,2997109.9195250794,8991329.758575238,43751377.06116428,22915320.17998591
F008,high,1,10,10,30881008.21745301,2113732.5578033766,8807218.990847403,7173491.534604284,8872457.650038866,3914107.484159084,4632151.232617951,1544050.4108726506,10808352.876108553,926430.2465235903,250000.0,2838100.821745301,12720023.451330265,3180005.8628325663,9540017.588497698,53291394.64966198,23831932.987185348
F009,high,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F009,high,1,2,2,3690100.0,278100.0,0.0,624000.0,2060000.0,728000.0,553515.0,184505.0,1291535.0,110703.0,250000.0,119010.0,1299842.0,324960.5,974881.5,974881.5,15142400.0
F009,high,1,3,3,8255405.0,572886.0,1432215.0,1557504.0,3394879.9999999995,1297920.0000000002,1238310.75,412770.25,2889391.75,247662.15,250000.0,575540.5,3217270.1,804317.525,2412952.575,3387834.075,16338649.600000003
F009,high,1,4,4,12872959.21,885108.87,2950362.9,2429706.24,4807998.800000001,1799782.4000000001,1930943.8815000001,643647.9605,4505535.7235,386188.7763,250000.0,1037295.9210000001,5156642.8682,1289160.71705,3867482.1511500003,7255316.2261500005,17606371.328
F009,high,1,5,5,17335415.780100003,1215549.5148,4558310.680500001,3369192.6528000007,5852645.812,2339717.1200000006,2600312.3670150004,866770.7890050001,6067395.523035001,520062.47340300004,250000.0,1483541.5780100003,7030874.627642001,1757718.6569105003,5273155.970731501,12528472.196881501,18949368.954880003
F009,high,1,6,6,21332988.571363,1460685.3336180001,5738406.667785,4379950.44864,6955644.445800001,2798301.6755200005,3199948.2857044498,1066649.42856815,7466545.9999770485,639989.6571408899,250000.0,1883298.8571362998,8709855.199972458,2177463.7999931145,6532391.399979344,19060863.596860845,20371636.197785605
F009,high,1,7,7,24349980.961122867,1665702.9536579554,6716544.167975626,5162501.595463681,7641934.697785601,3163297.546240001,3652497.14416843,1217499.0480561433,8522493.336393002,730499.4288336859,250000.0,2184998.0961122867,9976992.003671605,2494248.0009179013,7482744.002753704,26543607.59961455,21186501.64569703
F009,high,1,8,8,26679173.66023648,1826362.6901559322,7471483.732456087,5842737.099807131,8117167.511804144,3421422.626013185,4001876.049035472,1333958.6830118243,9337710.781082768,800375.2098070944,250000.0,2417917.3660236485,10955252.937299322,2738813.2343248306,8216439.702974492,34760047.302589044,22033961.711524915
F009,high,1,9,9,29139142.09071504,1995162.8781854957,8265674.781054197,6569131.441945314,8614036.553435791,3695136.4360942394,4370871.313607256,1456957.104535752,10198699.731750263,874174.2627214511,250000.0,2663914.209071504,11988439.678100318,2997109.9195250794,8991329.758575238,43751377.06116428,22915320.17998591
F009,high,1,10,10,30881008.21745301,2113732.5578033766,8807218.990847403,7173491.534604284,8872457.650038866,3914107.484159084,4632151.232617951,1544050.4108726506,10808352.876108553,926430.2465235903,250000.0,2838100.821745301,12720023.451330265,3180005.8628325663,9540017.588497698,53291394.64966198,23831932.987185348
F010,high,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F010,high,1,2,2,3690100.0,278100.0,0.0,624000.0,2060000.0,728000.0,553515.0,184505.0,1291535.0,110703.0,250000.0,119010.0,1299842.0,324960.5,974881.5,974881.5,15142400.0
F010,high,1,3,3,8255405.0,572886.0,1432215.0,1557504.0,3394879.9999999995,1297920.0000000002,1238310.75,412770.25,2889391.75,247662.15,250000.0,575540.5,3217270.1,804317.525,2412952.575,3387834.075,16338649.600000003
F010,high,1,4,4,12872959.21,885108.87,2950362.9,2429706.24,4807998.800000001,1799782.4000000001,1930943.8815000001,643647.9605,4505535.7235,386188.7763,250000.0,1037295.9210000001,5156642.8682,1289160.71705,3867482.1511500003,7255316.2261500005,17606371.328
F010,high,1,5,5,17335415.780100003,1215549.5148,4558310.680500001,3369192.6528000007,5852645.812,2339717.1200000006,2600312.3670150004,866770.7890050001,6067395.523035001,520062.47340300004,250000.0,1483541.5780100003,7030874.627642001,1757718.6569105003,5273155.970731501,12528472.196881501,18949368.954880003
F010,high,1,6,6,21332988.571363,1460685.3336180001,5738406.667785,4379950.44864,6955644.445800001,2798301.6755200005,3199948.2857044498,1066649.42856815,7466545.9999770485,639989.6571408899,250000.0,1883298.8571362998,8709855.199972458,2177463.7999931145,6532391.399979344,19060863.596860845,20371636.197785605
F010,high,1,7,7,24349980.961122867,1665702.9536579554,6716544.167975626,5162501.595463681,7641934.697785601,3163297.546240001,3652497.14416843,1217499.0480561433,8522493.336393002,730499.4288336859,250000.0,2184998.0961122867,9976992.003671605,2494248.0009179013,7482744.002753704,26543607.59961455,21186501.64569703
F010,high,1,8,8,26679173.66023648,1826362.6901559322,7471483.732456087,5842737.099807131,8117167.511804144,3421422.626013185,4001876.049035472,1333958.6830118243,9337710.781082768,800375.2098070944,250000.0,2417917.3660236485,10955252.937299322,2738813.2343248306,8216439.702974492,34760047.302589044,22033961.711524915
F010,high,1,9,9,29139142.09071504,1995162.8781854957,8265674.781054197,6569131.441945314,8614036.553435791,3695136.4360942394,4370871.313607256,1456957.104535752,10198699.731750263,874174.2627214511,250000.0,2663914.209071504,11988439.678100318,2997109.9195250794,8991329.758575238,43751377.06116428,22915320.17998591
F010,high,1,10,10,30881008.21745301,2113732.5578033766,8807218.990847403,7173491.534604284,8872457.650038866,3914107.484159084,4632151.232617951,1544050.4108726506,10808352.876108553,926430.2465235903,250000.0,2838100.821745301,12720023.451330265,3180005.8628325663,9540017.588497698,53291394.64966198,23831932.987185348
F011,medium,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14560000.0
F011,medium,2,3,2,2606398.0,190962.0,0.0,389376.0,1485259.9999999998,540800.0000000001,390959.7,130319.90000000001,912239.2999999999,78191.94,250000.0,10639.800000000017,844687.16,211171.79,633515.37,633515.37,15142400.0
F011,medium,2,4,3,5704352.86,393381.72,983454.2999999999,1079869.44,2403999.4000000004,843648.0000000001,855652.929,285217.64300000004,1996523.501,171130.5858,250000.0,320435.2860000001,2145828.2012,536457.0503,1609371.1509,2242886.5209,16338649.600000003
F011,medium,2,5,4,8639570.169800002,607774.7574,2025915.8580000002,1684596.3264000004,3151424.668,1169858.5600000003,1295935.5254700002,431978.50849000015,3023849.5594300004,259187.10509400006,250000.0,613957.0169800003,3378619.471316001,844654.8678290002,2533964.603487001,4776851.124387001,17606371.328
F011,medium,2,6,5,11702206.242214002,834677.333496,3130040.0006100005,2335973.572608,3941531.8526200005,1459983.4828800003,1755330.9363321003,585110.3121107001,4095772.1847749003,351066.18726642005,250000.0,920220.6242214001,4664926.621729881,1166231.6554324701,3498694.9662974104,8275546.090684411,18949368.954880003
