year,portfolio_nav,token_price,accumulated_treasury,nav_growth_rate,token_price_multiple
1,20607840.0,0.15494616541353384,7840.0,,1.0
2,48897047.99999999,0.36764697744360897,95648.0,1.3727400833857404,2.37274008338574
3,79825545.54999998,0.6001920718045112,1328320.0,0.6325227966727152,3.87355227670634
4,113074824.05999996,0.8501866470676689,2912616.0,0.4165242878192892,5.486980880092235
5,154479710.09280002,1.161501579645113,6048056.0,0.3661724559556221,7.496162144737149
6,167404233.31200004,1.2586784459548874,9239356.0,0.08366485936202173,8.123327496331495
7,183887844.80820665,1.3826153744977943,13780116.0,0.09846591791669468,8.923198394795701
8,195845900.60457593,1.4725255684554581,18083324.0,0.06502907143667613,9.503465700654504
9,218057150.99731454,1.639527451107628,24141124.0,0.11341187292750332,10.581271545068018
10,233249800.34718025,1.7537578973472199,29637972.0,0.06967278660837328,11.318498219472794
