year,operating_costs,accumulated_treasury,forwards_needed,discount_cost,treasury_sufficient
1,18550.0,7840.0,306.0,3060.0,False
2,207760.0,95648.0,3203.2,32032.0,False
3,2308840.0,1328320.0,28014.85714285714,280148.5714285714,False
4,2823120.0,2912616.0,0.0,0.0,True
5,5091800.0,6048056.0,0.0,0.0,True
6,5173500.0,9239356.0,0.0,0.0,True
7,7147200.0,13780116.0,0.0,0.0,True
8,6799760.0,18083324.0,0.0,0.0,True
9,9366000.0,24141124.0,0.0,0.0,True
10,8545560.0,29637972.0,0.0,0.0,True
