scenario,year_10_token_price,token_multiple,year_10_nav,year_10_revenue,total_pdf,min_farm_profit,self_funding_year,year_10_treasury,year_10_land
Conservative,4.559547047246515,4.559547047246515,2044918704.151878,772022602.3592304,433276827.3479254,12342098.213975288,8,279200422.1964409,1765718281.9554372
Base,8.911014174895469,8.911014174895469,2563770574.538809,1192778744.040378,667123607.8462348,19765142.104510218,7,634409148.4882214,1929361426.0505877
Aggressive,15.743704583429913,15.743704583429913,3249092440.2640314,1704635082.1580603,951181417.8090755,28802938.66236159,6,1140883380.430717,2108209059.8333144
