simulation,token_price,nav,self_funding
1,10.794934194340712,2701311372.179032,7
2,7.582565237223297,2367114934.8533115,7
3,10.349818032646674,2633336131.3265553,7
4,8.254570776427768,2484073066.066214,7
5,12.239983735156272,2886670073.0144806,6
6,11.412546736735026,2800302972.6215677,6
7,10.10738381386067,2664587470.5425873,7
8,7.439049449234611,2405183073.0355215,7
9,7.006586092180349,2433692254.5833077,7
10,7.2303590347776305,2357495481.1539645,7
11,12.771106400773316,2917848430.665661,6
12,9.306132302791795,2611385722.310205,7
13,6.729976252577994,2290129465.70827,7
14,6.958093212667922,2417048834.1354165,7
15,9.146522434272631,2567048315.400693,7
16,13.17707065574682,2860162508.370451,6
17,6.948341213781709,2414361867.2887416,7
18,9.948218472490465,2697970764.8142695,7
19,8.313215762433627,2578314860.4493885,7
20,7.0520686754153585,2345692769.307167,7
21,9.791100348771696,2691488651.721467,7
22,11.478648874141015,2739150146.446601,6
23,6.799035160065228,2393869713.9912763,8
24,9.294644955378587,2655869760.723772,7
25,8.050279846034945,2514818835.9138427,7
26,8.67243446329133,2475642580.4375763,7
27,10.367179823418931,2649073118.0974383,7
28,11.324082759654013,2796506490.3642616,6
29,9.072520153170215,2633864518.2876687,7
30,7.9215665278734715,2447464029.077325,7
31,8.777462771749411,2515477597.6776915,7
32,9.546599911981314,2611682672.0560837,7
33,8.017972209190294,2481092465.6616015,7
34,6.828408210693498,2454681276.23726,8
35,8.534874571572418,2489960407.9501734,7
36,7.3120159653143855,2377768204.9120398,7
37,9.664780491638808,2564586146.9712005,7
38,9.739311246590205,2566413362.407336,7
39,10.466198293737635,2650007133.6406617,7
40,6.915481339744755,2315736083.613756,7
41,9.964561223593403,2598634320.471402,7
42,8.97386890542682,2565738590.3763437,7
43,12.603970688931517,2815329970.219033,6
44,6.721178765349961,2411812585.1753335,8
45,6.771275424355515,2301967131.0960417,7
46,10.437088119607884,2614572609.0502663,7
47,10.107945529956938,2667640321.223448,7
48,9.797841469576356,2700629479.590783,7
49,6.101841502772561,2330928955.8721204,8
50,9.890348617559882,2702887386.175706,7
